[2026-06-13T06:07:32.329Z] GET http://127.0.0.1:50234/?t=C_1WzSugCgq263Cwq2gjOOgQ0WXYOyWj → 200 (7ms, 13999B)
[2026-06-13T06:07:32.367Z] GET http://127.0.0.1:50234/api/overview → 200 (79ms, 263B)
[2026-06-13T06:07:32.367Z] GET http://127.0.0.1:50234/api/peers → 200 (81ms, 515B)
[2026-06-13T06:07:32.367Z] GET http://127.0.0.1:50234/api/pending → 200 (79ms, 15B)
[2026-06-13T06:07:32.367Z] GET http://127.0.0.1:50234/api/threads → 200 (79ms, 3524B)
[2026-06-13T06:07:32.367Z] GET http://127.0.0.1:50234/api/activity → 200 (79ms, 1520B)
[2026-06-13T06:07:36.373Z] GET http://127.0.0.1:50234/api/overview → 200 (3ms, 263B)
[2026-06-13T06:07:36.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (14ms, 515B)
[2026-06-13T06:07:36.373Z] GET http://127.0.0.1:50234/api/pending → 200 (10ms, 15B)
[2026-06-13T06:07:36.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (12ms, 3524B)
[2026-06-13T06:07:36.374Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (9ms, 1520B)
[2026-06-13T06:07:40.371Z] GET http://127.0.0.1:50234/api/overview → 200 (3ms, 263B)
[2026-06-13T06:07:40.371Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (10ms, 515B)
[2026-06-13T06:07:40.371Z] GET http://127.0.0.1:50234/api/pending → 200 (5ms, 15B)
[2026-06-13T06:07:40.372Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (6ms, 3524B)
[2026-06-13T06:07:40.372Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (4ms, 1520B)
[2026-06-13T06:07:44.373Z] GET http://127.0.0.1:50234/api/overview → 200 (5ms, 263B)
[2026-06-13T06:07:44.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (15ms, 515B)
[2026-06-13T06:07:44.373Z] GET http://127.0.0.1:50234/api/pending → 200 (11ms, 15B)
[2026-06-13T06:07:44.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (9ms, 3524B)
[2026-06-13T06:07:44.373Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (13ms, 1520B)
[2026-06-13T06:07:48.370Z] GET http://127.0.0.1:50234/api/overview → 200 (3ms, 263B)
[2026-06-13T06:07:48.370Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (10ms, 515B)
[2026-06-13T06:07:48.370Z] GET http://127.0.0.1:50234/api/pending → 200 (6ms, 15B)
[2026-06-13T06:07:48.370Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (8ms, 3524B)
[2026-06-13T06:07:48.370Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (5ms, 1520B)
[2026-06-13T06:07:52.372Z] GET http://127.0.0.1:50234/api/overview → 200 (6ms, 263B)
[2026-06-13T06:07:52.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (11ms, 515B)
[2026-06-13T06:07:52.373Z] GET http://127.0.0.1:50234/api/pending → 200 (9ms, 15B)
[2026-06-13T06:07:52.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (10ms, 3524B)
[2026-06-13T06:07:52.373Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (6ms, 1520B)
[2026-06-13T06:07:56.371Z] GET http://127.0.0.1:50234/api/overview → 200 (4ms, 263B)
[2026-06-13T06:07:56.371Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (10ms, 515B)
[2026-06-13T06:07:56.372Z] GET http://127.0.0.1:50234/api/pending → 200 (5ms, 15B)
[2026-06-13T06:07:56.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (7ms, 3524B)
[2026-06-13T06:07:56.373Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (4ms, 1520B)
[2026-06-13T06:08:00.373Z] GET http://127.0.0.1:50234/api/overview → 200 (4ms, 263B)
[2026-06-13T06:08:00.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (9ms, 515B)
[2026-06-13T06:08:00.373Z] GET http://127.0.0.1:50234/api/pending → 200 (7ms, 15B)
[2026-06-13T06:08:00.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (10ms, 3524B)
[2026-06-13T06:08:00.373Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (6ms, 1520B)
[2026-06-13T06:08:04.373Z] GET http://127.0.0.1:50234/api/overview → 200 (4ms, 263B)
[2026-06-13T06:08:04.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (12ms, 515B)
[2026-06-13T06:08:04.373Z] GET http://127.0.0.1:50234/api/pending → 200 (7ms, 15B)
[2026-06-13T06:08:04.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (9ms, 3524B)
[2026-06-13T06:08:04.373Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (6ms, 1520B)
[2026-06-13T06:08:08.370Z] GET http://127.0.0.1:50234/api/overview → 200 (2ms, 263B)
[2026-06-13T06:08:08.370Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (7ms, 515B)
[2026-06-13T06:08:08.370Z] GET http://127.0.0.1:50234/api/pending → 200 (4ms, 15B)
[2026-06-13T06:08:08.370Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (6ms, 3524B)
[2026-06-13T06:08:08.370Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (5ms, 1520B)
[2026-06-13T06:08:12.371Z] GET http://127.0.0.1:50234/api/overview → 200 (4ms, 263B)
[2026-06-13T06:08:12.372Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (10ms, 515B)
[2026-06-13T06:08:12.372Z] GET http://127.0.0.1:50234/api/pending → 200 (6ms, 15B)
[2026-06-13T06:08:12.372Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (8ms, 3524B)
[2026-06-13T06:08:12.372Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (5ms, 1520B)
[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/overview → 200 (1ms, 263B)
[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/peers?project=lead_inbox → 200 (6ms, 515B)
[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/pending → 200 (4ms, 15B)
[2026-06-13T06:08:16.373Z] GET http://127.0.0.1:50234/api/threads?project=lead_inbox → 200 (5ms, 3524B)
[2026-06-13T06:08:16.374Z] GET http://127.0.0.1:50234/api/activity?project=lead_inbox → 200 (3ms, 1520B)
[2026-06-13T06:08:20.376Z] GET http://127.0.0.1:50234/api/overview → 200 (4ms, 263B)
